file, cegist, add const, no si 
ic_eq_bvadd.ng.sl, 1 , 1 , 1 ,  
ic_eq_bvand.ng.sl, 105012 , 4 , 4 ,  
ic_eq_bvashr0.ng.sl, timeout , timeout , timeout ,  
ic_eq_bvashr1.ng.sl, timeout , timeout , timeout ,  
ic_eq_bvlshr0.ng.sl, 38014 , 4064 , 2068 ,  
ic_eq_bvlshr1.ng.sl, timeout , timeout , timeout ,  
ic_eq_bvmul.ng.sl, timeout , timeout , 44063 ,  
ic_eq_bvneg.ng.sl, 1 , 1 , 1 ,  
ic_eq_bvnot.ng.sl, 1 , 1 , 1 ,  
ic_eq_bvor.ng.sl, 97078 , 3 , 3 ,  
ic_eq_bvshl0.ng.sl, timeout , 106081 , 2047 ,  
ic_eq_bvshl1.ng.sl, timeout , timeout , timeout ,  
ic_eq_bvudiv0.ng.sl, timeout , 81088 , 2037 ,  
ic_eq_bvudiv1.ng.sl, timeout , 40040 , 1079 ,  
ic_eq_bvurem0.ng.sl, 54068 , 56 , 29 ,  
ic_eq_bvurem1.ng.sl, timeout , 40008 , 1067 ,  
ic_ne_bvadd.ng.sl, 1 , 1 , 1 ,  
ic_ne_bvand.ng.sl, 4087 , 4 , 4 ,  
ic_ne_bvashr0.ng.sl, 1 , 1 , 1 ,  
ic_ne_bvashr1.ng.sl, timeout , 7065 , 8006 ,  
ic_ne_bvlshr0.ng.sl, 35083 , 7093 , 2092 ,  
ic_ne_bvlshr1.ng.sl, 3025 , 4 , 4 ,  
ic_ne_bvmul.ng.sl, 6013 , 15 , 5 ,  
ic_ne_bvneg.ng.sl, 1 , 1 , 1 ,  
ic_ne_bvnot.ng.sl, 1 , 1 , 1 ,  
ic_ne_bvor.ng.sl, 10009 , 10 , 2033 ,  
ic_ne_bvshl0.ng.sl, 36096 , 10070 , 3006 ,  
ic_ne_bvshl1.ng.sl, 3038 , 4 , 4 ,  
ic_ne_bvudiv0.ng.sl, 19080 , 2000 , 2022 ,  
ic_ne_bvudiv1.ng.sl, 1 , 1 , 1 ,  
ic_ne_bvurem0.ng.sl, 42068 , 3061 , 42 ,  
ic_ne_bvurem1.ng.sl, 21024 , 24 , 9 ,  
General_plus10.ng.sl, no result found , no result found , no result found ,  
LinExpr_eq1ex.ng.sl, timeout , timeout , timeout ,  
LinExpr_eq2ex.ng.sl, timeout , timeout , timeout ,  
LinExpr_inv1.ng.sl, timeout , 42 , 40 ,  
LinExpr_inv1_ex.ng.sl, timeout , timeout , timeout ,  
MPwL_d1s3.ng.sl, 37 , 28 , 27 ,  
MPwL_d1s7.ng.sl, 11085 , 12001 , 6013 ,  
MPwL_d4s3.ng.sl, timeout , 2084 , 83 ,  
MPwL_d4s7.ng.sl, timeout , 14090 , 6095 ,  
MPwL_d5s3.ng.sl, timeout , timeout , 14006 ,  
MPwL_d5s7.ng.sl, timeout , timeout , timeout ,  
MPwoL_d1s3.ng.sl, 38 , 29 , 28 ,  
MPwoL_d1s7.ng.sl, 11073 , 11093 , 6015 ,  
MPwoL_d4s3.ng.sl, timeout , 3017 , 81 ,  
MPwoL_d4s7.ng.sl, timeout , 15001 , 7008 ,  
MPwoL_d5s3.ng.sl, timeout , timeout , 14018 ,  
MPwoL_d5s7.ng.sl, timeout , timeout , timeout ,  
array_search_10.ng.sl, timeout , timeout , timeout ,  
array_search_11.ng.sl, timeout , timeout , timeout ,  
array_search_12.ng.sl, timeout , timeout , timeout ,  
array_search_13.ng.sl, timeout , timeout , timeout ,  
array_search_14.ng.sl, timeout , timeout , timeout ,  
array_search_15.ng.sl, timeout , timeout , timeout ,  
array_search_2.ng.sl, timeout , 62005 , timeout ,  
array_search_3.ng.sl, timeout , timeout , timeout ,  
array_search_4.ng.sl, timeout , timeout , timeout ,  
array_search_5.ng.sl, timeout , timeout , timeout ,  
array_search_6.ng.sl, timeout , timeout , timeout ,  
array_search_7.ng.sl, timeout , timeout , timeout ,  
array_search_8.ng.sl, timeout , timeout , timeout ,  
array_search_9.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-scale-disp-solution-0.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-scale-disp-solution-1.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-scale-disp-solution-2.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-scale-disp-solution-3.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-scale-disp-solution-4.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-scale-disp-solution-5.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-scale-disp-solution-6.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-solution-0.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-solution-1.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-solution-2.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-solution-3.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-solution-4.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-solution-5.ng.sl, timeout , timeout , timeout ,  
btr-am-base-index-solution-6.ng.sl, timeout , timeout , timeout ,  
btr-am-base-solution-0.ng.sl, timeout , timeout , timeout ,  
btr-am-base-solution-1.ng.sl, timeout , timeout , timeout ,  
btr-am-base-solution-2.ng.sl, timeout , timeout , timeout ,  
btr-am-base-solution-3.ng.sl, timeout , timeout , timeout ,  
btr-am-base-solution-4.ng.sl, timeout , timeout , timeout ,  
btr-am-base-solution-5.ng.sl, timeout , timeout , timeout ,  
btr-am-base-solution-6.ng.sl, timeout , timeout , timeout ,  
btr-solution-0.ng.sl, timeout , timeout , timeout ,  
btr-solution-1.ng.sl, timeout , timeout , timeout ,  
btr-solution-2.ng.sl, timeout , timeout , timeout ,  
btr-solution-3.ng.sl, timeout , timeout , timeout ,  
btr-solution-4.ng.sl, timeout , timeout , timeout ,  
btr-solution-5.ng.sl, timeout , timeout , timeout ,  
btr-solution-6.ng.sl, timeout , timeout , timeout ,  
commutative.ng.sl, 1 , 1 , 1 ,  
constant.ng.sl, 1 , 1 , 1 ,  
eightfuncs.ng.sl, timeout , 5040 , timeout ,  
fivefuncs.ng.sl, 3024 , 1077 , 30 ,  
hd-01-d1-prog.ng.sl, 57019 , 3 , 3 ,  
hd-01-d5-prog.ng.sl, 56043 , 3 , 3 ,  
hd-02-d0-prog.ng.sl, 49013 , 17 , 17 ,  
hd-02-d1-prog.ng.sl, 49037 , 17 , 17 ,  
hd-02-d5-prog.ng.sl, 49016 , 17 , 17 ,  
hd-03-d0-prog.ng.sl, 73015 , 2 , 2 ,  
hd-03-d1-prog.ng.sl, 73071 , 2 , 2 ,  
hd-03-d5-prog.ng.sl, 72079 , 2 , 2 ,  
hd-04-d0-prog.ng.sl, 54066 , 3 , 3 ,  
hd-04-d1-prog.ng.sl, 54030 , 3 , 3 ,  
hd-04-d5-prog.ng.sl, 54094 , 4 , 3 ,  
hd-05-d0-prog.ng.sl, 46042 , 3 , 3 ,  
hd-05-d1-prog.ng.sl, 46037 , 3 , 3 ,  
hd-05-d5-prog.ng.sl, 46081 , 3 , 3 ,  
hd-06-d0-prog.ng.sl, 45056 , 18 , 18 ,  
hd-06-d1-prog.ng.sl, 45061 , 18 , 18 ,  
hd-06-d5-prog.ng.sl, 46036 , 18 , 18 ,  
hd-07-d0-prog.ng.sl, timeout , 59 , 59 ,  
hd-07-d1-prog.ng.sl, timeout , 58 , 59 ,  
hd-07-d5-prog.ng.sl, timeout , 59 , 59 ,  
hd-08-d0-prog.ng.sl, timeout , 46 , 17 ,  
hd-08-d1-prog.ng.sl, timeout , 45 , 17 ,  
hd-08-d5-prog.ng.sl, timeout , 45 , 17 ,  
hd-09-d0-prog.ng.sl, timeout , 38 , 39 ,  
hd-09-d1-prog.ng.sl, timeout , 37 , 38 ,  
hd-09-d5-prog.ng.sl, timeout , 38 , 38 ,  
hd-13-d0-prog.ng.sl, timeout , 72 , 71 ,  
hd-13-d1-prog.ng.sl, timeout , 72 , 71 ,  
hd-13-d5-prog.ng.sl, timeout , 71 , 71 ,  
hd-14-d0-prog.ng.sl, timeout , timeout , timeout ,  
hd-14-d1-prog.ng.sl, timeout , timeout , timeout ,  
hd-14-d5-prog.ng.sl, timeout , timeout , timeout ,  
hd-15-d0-prog.ng.sl, timeout , timeout , timeout ,  
hd-15-d1-prog.ng.sl, timeout , timeout , timeout ,  
hd-15-d5-prog.ng.sl, timeout , timeout , timeout ,  
hd-17-d0-prog.ng.sl, timeout , 57049 , 24016 ,  
hd-17-d1-prog.ng.sl, timeout , 57060 , 24045 ,  
hd-17-d5-prog.ng.sl, timeout , 58021 , 24018 ,  
hd-19-d0-prog.ng.sl, timeout , timeout , timeout ,  
hd-19-d1-prog.ng.sl, timeout , timeout , timeout ,  
hd-19-d5-prog.ng.sl, timeout , timeout , timeout ,  
hd-20-d0-prog.ng.sl, timeout , timeout , timeout ,  
hd-20-d1-prog.ng.sl, timeout , timeout , timeout ,  
hd-20-d5-prog.ng.sl, timeout , timeout , timeout ,  
icfp_103_10.ng.sl, timeout , 1 , timeout ,  
icfp_104_10.ng.sl, 85 , 1 , 1 ,  
icfp_105_100.ng.sl, timeout , 1003 , 7042 ,  
icfp_105_1000.ng.sl, timeout , timeout , timeout ,  
icfp_113_1000.ng.sl, timeout , timeout , 6037 ,  
icfp_114_100.ng.sl, timeout , 1074 , timeout ,  
icfp_118_10.ng.sl, timeout , 1 , timeout ,  
icfp_118_100.ng.sl, timeout , 1077 , timeout ,  
icfp_125_10.ng.sl, 68 , 1 , 4 ,  
icfp_134_1000.ng.sl, timeout , timeout , timeout ,  
icfp_135_100.ng.sl, timeout , 1081 , timeout ,  
icfp_139_10.ng.sl, timeout , 1 , 22 ,  
icfp_143_1000.ng.sl, timeout , timeout , timeout ,  
icfp_144_100.ng.sl, timeout , 1068 , timeout ,  
icfp_144_1000.ng.sl, timeout , timeout , timeout ,  
icfp_147_1000.ng.sl, timeout , timeout , 28060 ,  
icfp_14_1000.ng.sl, timeout , timeout , timeout ,  
icfp_150_10.ng.sl, timeout , 1 , timeout ,  
icfp_21_1000.ng.sl, timeout , timeout , timeout ,  
icfp_25_1000.ng.sl, timeout , timeout , timeout ,  
icfp_28_10.ng.sl, timeout , 1 , 19094 ,  
icfp_30_10.ng.sl, timeout , 1 , timeout ,  
icfp_32_10.ng.sl, 71 , 1 , 2 ,  
icfp_38_10.ng.sl, timeout , 1 , 21058 ,  
icfp_39_100.ng.sl, timeout , 1016 , 8014 ,  
icfp_45_10.ng.sl, timeout , 1 , timeout ,  
icfp_45_1000.ng.sl, timeout , timeout , timeout ,  
icfp_51_10.ng.sl, 5041 , 1 , 5 ,  
icfp_54_1000.ng.sl, timeout , timeout , timeout ,  
icfp_56_1000.ng.sl, timeout , timeout , timeout ,  
icfp_5_1000.ng.sl, timeout , timeout , timeout ,  
icfp_64_10.ng.sl, timeout , 1 , timeout ,  
icfp_68_1000.ng.sl, timeout , timeout , timeout ,  
icfp_69_10.ng.sl, 2056 , 1 , 3 ,  
icfp_72_10.ng.sl, timeout , 1 , timeout ,  
icfp_73_10.ng.sl, timeout , 1 , 19004 ,  
icfp_7_10.ng.sl, 78 , 1 , 1 ,  
icfp_7_1000.ng.sl, timeout , timeout , timeout ,  
icfp_81_1000.ng.sl, timeout , timeout , timeout ,  
icfp_82_10.ng.sl, timeout , 2 , timeout ,  
icfp_82_100.ng.sl, timeout , 1037 , timeout ,  
icfp_87_10.ng.sl, 5013 , 1 , 4 ,  
icfp_93_1000.ng.sl, timeout , timeout , timeout ,  
icfp_94_100.ng.sl, timeout , 1002 , timeout ,  
icfp_94_1000.ng.sl, timeout , timeout , timeout ,  
icfp_95_100.ng.sl, timeout , 1022 , 6068 ,  
icfp_96_10.ng.sl, timeout , 1 , 74000 ,  
icfp_96_1000.ng.sl, timeout , timeout , timeout ,  
icfp_99_100.ng.sl, timeout , 93 , timeout ,  
icfp_9_1000.ng.sl, timeout , timeout , timeout ,  
inv_gen_array.ng.sl, 4044 , 23 , 9 ,  
inv_gen_cegar2.ng.sl, 3015 , 8 , 8 ,  
inv_gen_cgr1.ng.sl, 7 , 4 , 3 ,  
inv_gen_ex14.ng.sl, 4 , 2 , 2 ,  
inv_gen_ex23.ng.sl, 61 , 2067 , timeout ,  
inv_gen_ex7.ng.sl, 6028 , 9 , 9 ,  
inv_gen_fig1.ng.sl, 1 , 1 , 1 ,  
inv_gen_fig3.ng.sl, 17055 , 22 , 22 ,  
inv_gen_fig6.ng.sl, 1 , 1 , 1 ,  
inv_gen_fig8.ng.sl, 2 , 2 , 2 ,  
inv_gen_fig9.ng.sl, 1 , 1 , 1 ,  
inv_gen_finf1.ng.sl, 4 , 2 , 2 ,  
inv_gen_finf2.ng.sl, 4 , 2 , 2 ,  
inv_gen_n_c11.ng.sl, 1007 , 9 , timeout ,  
inv_gen_sum1.ng.sl, 30 , 4 , 4 ,  
inv_gen_sum3.ng.sl, 48 , 1 , 1 ,  
inv_gen_sum4.ng.sl, 2 , 2 , 2 ,  
inv_gen_tcs.ng.sl, timeout , 43 , 43 ,  
inv_gen_term2.ng.sl, 1 , 1 , 1 ,  
inv_gen_term3.ng.sl, 1 , 1 , 1 ,  
inv_gen_trex1.ng.sl, 1 , 1 , 1 ,  
inv_gen_trex2.ng.sl, 1 , 1 , 1 ,  
inv_gen_trex4.ng.sl, 1 , 1 , 1 ,  
inv_gen_vmail.ng.sl, 18 , 2 , 2 ,  
inv_gen_w1.ng.sl, 1 , 1 , 1 ,  
inv_gen_w2.ng.sl, 12 , 2 , 2 ,  
inv_gen_winf1.ng.sl, 1 , 1 , 1 ,  
inv_gen_winf2.ng.sl, 1 , 1 , 1 ,  
max10.ng.sl, timeout , timeout , timeout ,  
max12.ng.sl, timeout , timeout , timeout ,  
max13.ng.sl, timeout , timeout , timeout ,  
max14.ng.sl, timeout , timeout , timeout ,  
max15.ng.sl, timeout , timeout , timeout ,  
max2.ng.sl, 4006 , 2 , 2 ,  
max3.ng.sl, timeout , timeout , timeout ,  
max4.ng.sl, timeout , timeout , timeout ,  
max5.ng.sl, timeout , timeout , timeout ,  
max6.ng.sl, timeout , timeout , timeout ,  
max7.ng.sl, timeout , timeout , timeout ,  
max8.ng.sl, timeout , timeout , timeout ,  
max9.ng.sl, timeout , timeout , timeout ,  
max_11.ng.sl, timeout , timeout , timeout ,  
mpg_example1.ng.sl, timeout , timeout , timeout ,  
mpg_example2.ng.sl, timeout , timeout , timeout ,  
mpg_example3.ng.sl, timeout , timeout , timeout ,  
mpg_example4.ng.sl, timeout , timeout , timeout ,  
mpg_example5.ng.sl, timeout , timeout , timeout ,  
mpg_guard1.ng.sl, timeout , 72002 , 72029 ,  
mpg_guard2.ng.sl, timeout , timeout , timeout ,  
mpg_guard3.ng.sl, timeout , timeout , timeout ,  
mpg_guard4.ng.sl, timeout , timeout , timeout ,  
mpg_ite1.ng.sl, timeout , timeout , timeout ,  
mpg_ite2.ng.sl, timeout , timeout , timeout ,  
mpg_plane1.ng.sl, 6 , 1 , 1 ,  
mpg_plane2.ng.sl, timeout , timeout , timeout ,  
mpg_plane3.ng.sl, timeout , timeout , timeout ,  
ninefuncs.ng.sl, timeout , timeout , timeout ,  
parity-AIG-d0.ng.sl, timeout , timeout , timeout ,  
parity-AIG-d1.ng.sl, timeout , timeout , timeout ,  
parity-NAND-d0.ng.sl, timeout , timeout , timeout ,  
parity-NAND-d1.ng.sl, timeout , timeout , timeout ,  
parity.ng.sl, timeout , timeout , timeout ,  
polynomial.ng.sl, 1 , 1 , 1 ,  
polynomial1.ng.sl, 1 , 1 , 1 ,  
polynomial2.ng.sl, 21 , 14 , 14 ,  
polynomial3.ng.sl, 16 , 4 , 4 ,  
polynomial4.ng.sl, 2052 , 2065 , 1065 ,  
qm_area_sel_2.ng.sl, timeout , timeout , timeout ,  
qm_choose_01.ng.sl, 61 , 1 , 1 ,  
qm_choose_yz.ng.sl, 51 , 3 , 3 ,  
qm_in_range.ng.sl, timeout , 23051 , 23059 ,  
qm_loop_1.ng.sl, 37 , 9 , 1097 ,  
qm_loop_2.ng.sl, timeout , timeout , timeout ,  
qm_loop_3.ng.sl, timeout , timeout , timeout ,  
qm_max2.ng.sl, 3023 , 1 , 1 ,  
qm_max3.ng.sl, timeout , timeout , timeout ,  
qm_max4.ng.sl, timeout , timeout , timeout ,  
qm_max5.ng.sl, timeout , timeout , timeout ,  
qm_neg_1.ng.sl, 79 , 2 , 2 ,  
qm_neg_2.ng.sl, timeout , 4055 , 4052 ,  
qm_neg_3.ng.sl, timeout , timeout , timeout ,  
qm_neg_4.ng.sl, timeout , timeout , timeout ,  
qm_neg_5.ng.sl, timeout , timeout , timeout ,  
qm_neg_eq_1.ng.sl, 62 , 1 , 1 ,  
qm_neg_eq_2.ng.sl, timeout , 3092 , 3091 ,  
qm_neg_eq_3.ng.sl, timeout , timeout , timeout ,  
qm_neg_eq_4.ng.sl, timeout , timeout , timeout ,  
qm_neg_eq_5.ng.sl, timeout , timeout , timeout ,  
s0.ng.sl, timeout , 1 , timeout ,  
s0_d0.ng.sl, timeout , 1 , timeout ,  
s0_d1.ng.sl, timeout , 1 , timeout ,  
s0_d2.ng.sl, timeout , 1 , timeout ,  
s1.ng.sl, timeout , timeout , timeout ,  
s10.ng.sl, 20094 , 52 , 52 ,  
s11.ng.sl, 9018 , 8 , 55018 ,  
s12.ng.sl, no result found , no result found , no result found ,  
s2.ng.sl, 1 , 1 , 1 ,  
s3.ng.sl, 1 , 1 , 1 ,  
s4.ng.sl, 14 , 5 , 5 ,  
s5.ng.sl, 6028 , 2050 , 1005 ,  
s6.ng.sl, 6019 , 85 , 22044 ,  
s7.ng.sl, timeout , 14017 , 6068 ,  
s8.ng.sl, 5038 , 71 , 72 ,  
s9.ng.sl, 13054 , 21 , 13 ,  
sixfuncs.ng.sl, 10076 , 3037 , 79 ,  
t1.ng.sl, 1 , 1 , 1 ,  
t10.ng.sl, no result found , no result found , no result found ,  
t11.ng.sl, 1 , 2 , 1 ,  
t12.ng.sl, no result found , no result found , no result found ,  
t14.ng.sl, 2 , 2 , 2 ,  
t15.ng.sl, no result found , no result found , no result found ,  
t17.ng.sl, 1 , 1 , 1 ,  
t18.ng.sl, 21 , 17 , 17 ,  
t2.ng.sl, 2 , 1 , 1 ,  
t20.ng.sl, 1 , 1 , 1 ,  
t3.ng.sl, 1 , 1 , 1 ,  
t4.ng.sl, 1 , 1 , 1 ,  
t5.ng.sl, 1 , 1 , 1 ,  
t6.ng.sl, 4 , 4 , 4 ,  
t7.ng.sl, 1 , 1 , 1 ,  
t8.ng.sl, 1 , 1 , 1 ,  
t9.ng.sl, 1 , 1 , 1 ,  
tenfunc1.ng.sl, timeout , timeout , timeout ,  
unbdd_inv_gen_array.ng.sl, 4007 , 22 , 9 ,  
unbdd_inv_gen_cegar2.ng.sl, 3019 , 8 , 8 ,  
unbdd_inv_gen_cgr1.ng.sl, 6 , 3 , 3 ,  
unbdd_inv_gen_ex14.ng.sl, 4 , 2 , 2 ,  
unbdd_inv_gen_ex23.ng.sl, 57 , 2031 , timeout ,  
unbdd_inv_gen_ex7.ng.sl, 5080 , 8 , 8 ,  
unbdd_inv_gen_fig1.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_fig3.ng.sl, 17031 , 22 , 22 ,  
unbdd_inv_gen_fig6.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_fig8.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_fig9.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_finf1.ng.sl, 3 , 2 , 2 ,  
unbdd_inv_gen_finf2.ng.sl, 3 , 2 , 2 ,  
unbdd_inv_gen_n_c11.ng.sl, 1000 , 9 , timeout ,  
unbdd_inv_gen_sum1.ng.sl, 30 , 4 , 4 ,  
unbdd_inv_gen_sum3.ng.sl, 48 , 1 , 1 ,  
unbdd_inv_gen_sum4.ng.sl, 2 , 2 , 2 ,  
unbdd_inv_gen_tcs.ng.sl, timeout , 40 , 44 ,  
unbdd_inv_gen_term2.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_term3.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_trex1.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_trex2.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_trex4.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_vmail.ng.sl, 17 , 2 , 2 ,  
unbdd_inv_gen_w1.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_w2.ng.sl, 11 , 2 , 2 ,  
unbdd_inv_gen_winf1.ng.sl, 1 , 1 , 1 ,  
unbdd_inv_gen_winf2.ng.sl, 1 , 1 , 1 ,  
avg-opt-new.eqn_sygus_iter_23_2.ng.sl, timeout , timeout , timeout ,  
avg-opt-new.eqn_sygus_iter_50_2.ng.sl, timeout , timeout , timeout ,  
avg-opt-new.eqn_sygus_iter_59_4.ng.sl, timeout , timeout , timeout ,  
avg-opt-old.eqn_sygus_iter_10_1.ng.sl, 8099 , 9032 , 9011 ,  
avg-opt-old.eqn_sygus_iter_24_3.ng.sl, 9 , 9 , 9 ,  
avg-opt-old.eqn_sygus_iter_39_1.ng.sl, 9 , 9 , 9 ,  
avg-opt-old.eqn_sygus_iter_42_0.ng.sl, timeout , timeout , timeout ,  
avg-opt-old.eqn_sygus_iter_53_1.ng.sl, 9 , 9 , 9 ,  
avg-opt-old.eqn_sygus_iter_88_1.ng.sl, 11 , 11 , 11 ,  
avg-opt-old.eqn_sygus_iter_88_2.ng.sl, 2037 , 2031 , 2034 ,  
avg-opt-old.eqn_sygus_iter_93_3.ng.sl, timeout , timeout , timeout ,  
avg-opt.eqn_sygus_iter_32_1.ng.sl, timeout , timeout , timeout ,  
avg-opt.eqn_sygus_iter_43_3.ng.sl, 9 , 9 , 9 ,  
avg-opt.eqn_sygus_iter_62_1.ng.sl, timeout , timeout , timeout ,  
avg-opt.eqn_sygus_iter_72_1.ng.sl, 9 , 9 , 10 ,  
avg-opt.eqn_sygus_iter_87_2.ng.sl, 9 , 9 , 9 ,  
avg-opt.eqn_sygus_iter_8_2.ng.sl, 9 , 9 , 9 ,  
avg-opt.eqn_sygus_iter_93_3.ng.sl, timeout , timeout , timeout ,  
bubble_3input-opt.eqn_sygus_iter_10_1.ng.sl, timeout , timeout , timeout ,  
bubble_3input-opt.eqn_sygus_iter_12_1.ng.sl, 34019 , 33025 , 33009 ,  
bubble_3input-opt.eqn_sygus_iter_24_1.ng.sl, timeout , timeout , timeout ,  
bubble_3input-opt.eqn_sygus_iter_43_0.ng.sl, timeout , timeout , timeout ,  
bubble_3input-opt.eqn_sygus_iter_45_1.ng.sl, 33033 , 32093 , 33064 ,  
bubble_3input-opt.eqn_sygus_iter_56_1.ng.sl, timeout , timeout , timeout ,  
bubble_3input-opt.eqn_sygus_iter_76_1.ng.sl, timeout , timeout , timeout ,  
bubble_3input-opt.eqn_sygus_iter_78_1.ng.sl, 33085 , 33024 , 32098 ,  
cardio-opt.eqn_sygus_iter_5_0.ng.sl, timeout , timeout , timeout ,  
cardio.eqn_sygus_iter_14_1.ng.sl, timeout , timeout , timeout ,  
cardio.eqn_sygus_iter_21_1.ng.sl, timeout , timeout , timeout ,  
cardio.eqn_sygus_iter_9_1.ng.sl, 11005 , 10098 , 11016 ,  
first_0bit-opt.eqn_sygus_iter_8_0.ng.sl, 33024 , 33060 , 33008 ,  
hd-cardio.eqn_sygus_iter_13_1.ng.sl, 33028 , 33012 , 32091 ,  
hd-cardio.eqn_sygus_iter_20_0.ng.sl, timeout , timeout , timeout ,  
hd-cardio.eqn_sygus_iter_78_0.ng.sl, timeout , timeout , timeout ,  
hd-cardio.eqn_sygus_iter_8_2.ng.sl, timeout , timeout , timeout ,  
hd-cardio.eqn_sygus_iter_98_1.ng.sl, timeout , timeout , timeout ,  
hd01.eqn_sygus_iter_10_2.ng.sl, 7 , 7 , 7 ,  
hd01.eqn_sygus_iter_6_1.ng.sl, 5 , 5 , 5 ,  
hd02.eqn_sygus_iter_19_2.ng.sl, 35036 , 35046 , 35036 ,  
hd02.eqn_sygus_iter_6_2.ng.sl, 35012 , 35008 , 35022 ,  
hd03.eqn_sygus_iter_13_3.ng.sl, timeout , timeout , timeout ,  
hd03.eqn_sygus_iter_25_3.ng.sl, timeout , timeout , timeout ,  
hd03.eqn_sygus_iter_2_3.ng.sl, timeout , timeout , timeout ,  
hd03.eqn_sygus_iter_37_3.ng.sl, timeout , timeout , timeout ,  
hd04.eqn_sygus_iter_10_1.ng.sl, 9003 , 8093 , 8085 ,  
hd04.eqn_sygus_iter_24_3.ng.sl, 9 , 9 , 9 ,  
hd04.eqn_sygus_iter_38_2.ng.sl, 9 , 9 , 9 ,  
hd04.eqn_sygus_iter_43_0.ng.sl, timeout , timeout , timeout ,  
hd04.eqn_sygus_iter_57_0.ng.sl, timeout , timeout , timeout ,  
hd04.eqn_sygus_iter_83_1.ng.sl, 9 , 9 , 9 ,  
hd05.eqn_sygus_iter_102_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_120_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_138_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_155_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_189_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_223_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_257_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_291_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_33_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_66_0.ng.sl, timeout , timeout , timeout ,  
hd05.eqn_sygus_iter_84_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_102_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_119_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_154_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_171_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_205_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_240_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_258_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_275_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_33_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_66_0.ng.sl, timeout , timeout , timeout ,  
hd06.eqn_sygus_iter_84_0.ng.sl, timeout , timeout , timeout ,  
hd07.eqn_sygus_iter_100_0.ng.sl, 11 , 11 , 12 ,  
hd07.eqn_sygus_iter_110_0.ng.sl, 11 , 11 , 11 ,  
hd07.eqn_sygus_iter_11_2.ng.sl, 89 , 94 , 96 ,  
hd07.eqn_sygus_iter_121_0.ng.sl, 12 , 11 , 12 ,  
hd07.eqn_sygus_iter_140_0.ng.sl, 4 , 4 , 4 ,  
hd07.eqn_sygus_iter_145_2.ng.sl, 2033 , 2037 , 2033 ,  
hd07.eqn_sygus_iter_149_0.ng.sl, 12 , 11 , 12 ,  
hd07.eqn_sygus_iter_14_0.ng.sl, 11 , 11 , 11 ,  
hd07.eqn_sygus_iter_18_0.ng.sl, 4 , 4 , 3 ,  
hd07.eqn_sygus_iter_19_2.ng.sl, 4 , 3 , 3 ,  
hd07.eqn_sygus_iter_23_1.ng.sl, 11 , 12 , 11 ,  
hd07.eqn_sygus_iter_37_1.ng.sl, 3034 , 3034 , 3035 ,  
